,city,10,20,30
0,Северо-Курильск,6.92,7.46,7.8
1,Курильск,6.67,7.23,7.57
2,Пионерский,6.44,6.99,7.33
3,Светлогорск,6.44,6.99,7.33
4,Островной,6.03,6.72,7.15
5,Керчь,5.8,6.28,6.58
6,Оха,5.8,6.44,6.84
7,Зеленоградск,5.72,6.35,6.76
8,Щелкино,5.58,6.05,6.34
9,Феодосия,5.56,6.03,6.32
10,Евпатория,5.41,5.84,6.11
11,Томари,5.38,5.91,6.25
12,Приморско-Ахтарск,5.36,5.96,6.34
13,Светлый,5.31,6.01,6.46
14,Ладушкин,5.31,6.01,6.46
15,Балтийск,5.31,6.01,6.46
16,Мамоново,5.31,6.01,6.46
17,Дудинка,5.28,5.98,6.42
18,Новороссийск,5.27,5.65,5.88
19,Норильск,5.25,5.92,6.35
20,Полесск,5.24,5.93,6.38
21,Таганрог,5.21,5.84,6.25
22,Темрюк,5.2,5.8,6.18
23,Ейск,5.2,5.87,6.29
24,Александровск-Сахалинский,5.19,5.76,6.13
25,Новый Уренгой,5.16,5.87,6.34
26,Холмск,5.1,5.67,6.04
27,Игарка,5.08,5.76,6.2
28,Лагань,5.06,5.7,6.1
29,Купино,5.05,5.75,6.21
30,Ялта,5.04,5.35,5.54
31,Алушта,5.04,5.35,5.54
32,Камызяк,5.01,5.65,6.07
33,Макушино,5.01,5.76,6.26
34,Магадан,5.0,5.49,5.8
35,Петухово,4.99,5.74,6.24
36,Называевск,4.97,5.74,6.24
37,Тюкалинск,4.96,5.71,6.2
38,Азов,4.96,5.65,6.1
39,Нарьян-Мар,4.96,5.7,6.18
40,Ишим,4.95,5.72,6.22
41,Татарск,4.95,5.69,6.17
42,Воркута,4.94,5.65,6.1
43,Тарко-Сале,4.94,5.65,6.12
44,Хасавюрт,4.93,5.61,6.05
45,Надым,4.92,5.64,6.1
46,Куйбышев,4.9,5.66,6.15
47,Барабинск,4.9,5.66,6.15
48,Анадырь,4.9,5.51,5.9
49,Исилькуль,4.9,5.66,6.15
50,Армянск,4.9,5.48,5.85
51,Красноперекопск,4.9,5.48,5.85
52,Калачинск,4.88,5.63,6.12
53,Лаишево,4.87,5.57,6.03
54,Углегорск,4.87,5.44,5.81
55,Анапа,4.87,5.5,5.91
56,Избербаш,4.87,5.25,5.49
57,Каргат,4.87,5.61,6.1
58,Чулым,4.83,5.58,6.07
59,Обь,4.82,5.55,6.02
60,Ясный,4.82,5.54,6.02
61,Новотроицк,4.81,5.53,6.0
62,Поронайск,4.81,5.34,5.67
63,Карасук,4.81,5.53,5.99
64,Бердск,4.8,5.52,5.99
65,Бугульма,4.8,5.55,6.04
66,Новосибирск,4.8,5.52,5.99
67,Курган,4.8,5.57,6.08
68,Лениногорск,4.8,5.55,6.04
69,Болгар,4.79,5.51,5.99
70,Карталы,4.79,5.55,6.04
71,Шумиха,4.79,5.56,6.06
72,Тетюши,4.79,5.51,5.99
73,Белебей,4.78,5.53,6.02
74,Сенгилей,4.78,5.5,5.97
75,Альметьевск,4.77,5.52,6.02
76,Чистополь,4.77,5.5,5.98
77,Омск,4.77,5.52,6.01
78,Набережные Челны,4.76,5.52,6.02
79,Ялуторовск,4.75,5.52,6.04
80,Бавлы,4.75,5.49,5.98
81,Заводоуковск,4.75,5.52,6.04
82,Щучье,4.74,5.52,6.03
83,Туймазы,4.74,5.49,5.98
84,Октябрьский,4.74,5.49,5.98
85,Каспийск,4.74,5.24,5.56
86,Махачкала,4.74,5.24,5.56
87,Азнакаево,4.74,5.49,5.98
88,Невельск,4.73,5.36,5.77
89,Пролетарск,4.73,5.47,5.96
90,Куртамыш,4.72,5.48,5.99
91,Новоульяновск,4.72,5.46,5.95
92,Красноармейск,4.72,5.43,5.9
93,Севастополь,4.71,5.06,5.27
94,Тюмень,4.71,5.49,6.01
95,Алупка,4.71,5.06,5.27
96,Тихорецк,4.7,5.46,5.96
97,Шадринск,4.7,5.49,6.01
