,city,10,20,30
0,Северо-Курильск,6.25,6.75,7.23
1,Светлогорск,6.08,6.63,7.1
2,Пионерский,6.08,6.63,7.1
3,Курильск,5.96,6.52,6.99
4,Островной,5.72,6.47,6.94
5,Зеленоградск,5.39,6.06,6.5
6,Оха,5.29,5.97,6.4
7,Керчь,5.5,5.97,6.4
8,Щелкино,5.3,5.77,6.18
9,Балтийск,4.97,5.74,6.16
10,Светлый,4.97,5.74,6.16
11,Ладушкин,4.97,5.74,6.16
12,Мамоново,4.97,5.74,6.16
13,Феодосия,5.27,5.74,6.15
14,Новый Уренгой,4.94,5.71,6.13
15,Дудинка,4.88,5.7,6.11
16,Полесск,4.9,5.68,6.09
17,Приморско-Ахтарск,5.02,5.68,6.09
18,Таганрог,4.91,5.63,6.04
19,Ейск,4.83,5.59,5.99
20,Ишим,4.68,5.58,5.99
21,Макушино,4.7,5.58,5.98
22,Называевск,4.67,5.57,5.97
23,Петухово,4.69,5.57,5.97
24,Тюкалинск,4.68,5.57,5.97
25,Норильск,4.73,5.55,5.95
26,Нарьян-Мар,4.69,5.55,5.94
27,Купино,4.71,5.54,5.94
28,Евпатория,5.14,5.54,5.94
29,Тарко-Сале,4.72,5.52,5.91
30,Игарка,4.69,5.51,5.91
31,Надым,4.7,5.51,5.9
32,Темрюк,4.84,5.51,5.9
33,Татарск,4.62,5.49,5.89
34,Исилькуль,4.58,5.47,5.87
35,Томари,4.92,5.47,5.87
36,Лагань,4.74,5.46,5.85
37,Курган,4.54,5.46,5.85
38,Куйбышев,4.56,5.45,5.84
39,Барабинск,4.56,5.45,5.84
40,Азов,4.63,5.45,5.84
41,Камызяк,4.7,5.44,5.84
42,Лаишево,4.58,5.44,5.83
43,Калачинск,4.56,5.44,5.83
44,Заводоуковск,4.53,5.43,5.82
45,Ялуторовск,4.53,5.43,5.82
46,Воркута,4.62,5.42,5.82
47,Шумиха,4.49,5.41,5.8
48,Тюмень,4.49,5.41,5.8
49,Шадринск,4.44,5.39,5.78
50,Щучье,4.43,5.39,5.77
51,Александровск-Сахалинский,4.73,5.38,5.77
52,Тетюши,4.49,5.38,5.77
53,Болгар,4.49,5.38,5.77
54,Каргат,4.48,5.37,5.75
55,Чистополь,4.47,5.35,5.73
56,Омск,4.45,5.34,5.73
57,Куртамыш,4.43,5.34,5.73
58,Карталы,4.42,5.34,5.72
59,Сенгилей,4.45,5.33,5.71
60,Копейск,4.37,5.33,5.71
61,Ясный,4.44,5.32,5.71
62,Чулым,4.43,5.32,5.7
63,Набережные Челны,4.42,5.32,5.7
64,Бугульма,4.45,5.31,5.69
65,Лениногорск,4.45,5.31,5.69
66,Армянск,4.65,5.31,5.69
67,Красноперекопск,4.65,5.31,5.69
68,Карасук,4.43,5.3,5.68
69,Новоульяновск,4.41,5.3,5.68
70,Холмск,4.7,5.29,5.67
71,Белебей,4.4,5.29,5.67
72,Альметьевск,4.41,5.29,5.67
73,Ульяновск,4.4,5.29,5.67
74,Обь,4.4,5.28,5.66
75,Азнакаево,4.39,5.27,5.64
76,Новотроицк,4.39,5.26,5.64
77,Пролетарск,4.38,5.26,5.64
78,Бавлы,4.38,5.26,5.64
79,Туймазы,4.37,5.26,5.64
80,Октябрьский,4.37,5.26,5.64
81,Красноармейск,4.38,5.25,5.63
82,Котельниково,4.38,5.25,5.63
83,Мензелинск,4.35,5.25,5.63
84,Волгодонск,4.38,5.25,5.63
85,Новороссийск,4.89,5.25,5.63
86,Бердск,4.36,5.25,5.62
87,Новосибирск,4.36,5.25,5.62
88,Калининград,4.32,5.24,5.62
89,Багратионовск,4.32,5.24,5.62
90,Мамадыш,4.34,5.24,5.61
91,Кузнецк,4.35,5.23,5.61
92,Сальск,4.33,5.23,5.61
93,Жирновск,4.33,5.22,5.6
94,Венев,4.28,5.22,5.6
95,Киреевск,4.3,5.22,5.6
96,Узловая,4.3,5.22,5.6
97,Новомосковск,4.3,5.22,5.6
98,Донской,4.3,5.22,5.6
99,Болохово,4.3,5.22,5.6
100,Богородицк,4.3,5.22,5.6
101,Аткарск,4.33,5.22,5.6
102,Кстово,4.29,5.22,5.59
103,Богородск,4.28,5.22,5.59
104,Дзержинск,4.28,5.22,5.59
105,Батайск,4.31,5.22,5.59
106,Ростов-на-Дону,4.31,5.22,5.59
107,Ковылкино,4.29,5.21,5.59
108,Димитровград,4.33,5.21,5.59
109,Зерноград,4.32,5.21,5.59
110,Давлеканово,4.3,5.21,5.58
111,Петровск,4.29,5.21,5.58
112,Тольятти,4.33,5.2,5.58
113,Жигулевск,4.33,5.2,5.58
114,Нижний Ломов,4.29,5.2,5.58
115,Суровикино,4.34,5.2,5.58
116,Михайлов,4.28,5.2,5.58
117,Кимовск,4.28,5.2,5.58
118,Изобильный,4.28,5.2,5.57
119,Заинск,4.31,5.2,5.57
120,Нижнекамск,4.31,5.2,5.57
121,Рыбное,4.26,5.19,5.57
122,Соль-Илецк,4.32,5.19,5.57
123,Каменка,4.29,5.19,5.57
124,Перевоз,4.26,5.19,5.57
125,Калач-на-Дону,4.34,5.19,5.57
126,Абдулино,4.29,5.19,5.57
127,Аркадак,4.31,5.19,5.56
128,Котово,4.3,5.19,5.56
129,Балахна,4.24,5.19,5.56
130,Нижний Новгород,4.24,5.19,5.56
131,Городец,4.24,5.19,5.56
132,Троицк,4.25,5.19,5.56
133,Инсар,4.28,5.19,5.56
134,Сорочинск,4.3,5.18,5.56
135,Тихорецк,4.29,5.18,5.56
136,Южноуральск,4.23,5.18,5.55
137,Скопин,4.25,5.18,5.55
138,Буинск,4.25,5.18,5.55
139,Сердобск,4.28,5.18,5.55
140,Городовиковск,4.25,5.18,5.55
141,Калининск,4.27,5.17,5.55
142,Данков,4.24,5.17,5.55
143,Ртищево,4.28,5.17,5.54
144,Новоузенск,4.28,5.17,5.54
145,Плавск,4.25,5.17,5.54
146,Ряжск,4.23,5.17,5.54
147,Николаевск,4.3,5.17,5.54
148,Камышин,4.3,5.17,5.54
149,Петров Вал,4.29,5.17,5.54
150,Ступино,4.21,5.16,5.54
151,Кашира,4.21,5.16,5.54
152,Волжский,4.29,5.16,5.54
153,Дубовка,4.29,5.16,5.54
154,Хасавюрт,4.39,5.16,5.54
155,Курлово,4.23,5.16,5.54
156,Гусь-Хрустальный,4.23,5.16,5.54
157,Анапа,4.41,5.16,5.53
158,Ершов,4.26,5.16,5.53
159,Кирсанов,4.26,5.16,5.53
160,Кораблино,4.23,5.16,5.53
161,Новомичуринск,4.23,5.16,5.53
162,Славгород,4.28,5.16,5.53
163,Яровое,4.28,5.16,5.53
164,Белинский,4.24,5.15,5.53
165,Гуково,4.26,5.15,5.52
166,Зверево,4.26,5.15,5.52
167,Красный Сулин,4.26,5.15,5.52
168,Новошахтинск,4.26,5.15,5.52
169,Собинка,4.22,5.15,5.52
170,Лакинск,4.22,5.15,5.52
171,Астрахань,4.29,5.15,5.52
172,Нариманов,4.29,5.15,5.52
173,Цимлянск,4.26,5.15,5.52
174,Казань,4.22,5.15,5.52
175,Ясногорск,4.22,5.15,5.52
176,Тула,4.22,5.15,5.52
177,Липки,4.22,5.15,5.52
178,Советск,4.22,5.15,5.52
179,Щекино,4.22,5.15,5.52
180,Арск,4.23,5.15,5.52
181,Пущино,4.21,5.15,5.52
182,Протвино,4.21,5.15,5.52
183,Серпухов,4.21,5.15,5.52
184,Чехов,4.21,5.15,5.52
185,Волгоград,4.29,5.15,5.52
186,Славск,4.24,5.15,5.52
187,Неман,4.24,5.15,5.52
188,Павлово,4.21,5.15,5.52
